Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,TS%,Wins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers*,82,19755,3345,7083,0.472,741,2010,0.369,2604,5073,0.513,1225,1573,0.779,788,2684,3472,1819,721,340,1089,1544,8656,2017,0.557,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,82,19705,3302,7004,0.471,777,2196,0.354,2525,4808,0.525,1556,2095,0.743,832,2766,3598,1832,628,373,1204,1638,8937,2017,0.564,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,82,19905,3338,7248,0.461,822,2384,0.345,2516,4864,0.517,1364,1910,0.714,876,2927,3803,1949,633,388,1295,1736,8862,2017,0.548,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,82,19705,3013,6788,0.444,758,2152,0.352,2255,4636,0.486,1361,1732,0.786,779,2544,3323,1767,613,396,1227,1900,8145,2017,0.539,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat*,82,19930,3184,6997,0.455,903,2506,0.36,2281,4491,0.508,1209,1601,0.755,763,2801,3564,1862,620,437,1179,1648,8480,2017,0.551,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks*,82,19830,3257,6807,0.478,718,2024,0.355,2539,4783,0.531,1499,1915,0.783,688,2579,3267,1905,722,443,1134,1752,8731,2017,0.571,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves*,82,19805,3365,7063,0.476,658,1845,0.357,2707,5218,0.519,1592,1980,0.804,848,2593,3441,1861,689,345,1021,1495,8980,2017,0.566,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans*,82,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1223,1570,9161,2017,0.573,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,82,19830,3334,7193,0.464,673,1914,0.352,2661,5279,0.504,1225,1557,0.787,859,2752,3611,1912,552,421,1207,1682,8566,2017,0.544,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder*,82,19830,3271,7221,0.453,881,2491,0.354,2390,4730,0.505,1421,1985,0.716,1024,2671,3695,1750,743,412,1147,1653,8844,2017,0.546,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,82,19730,3182,7042,0.452,844,2405,0.351,2338,4637,0.504,1271,1678,0.757,722,2692,3414,1921,622,400,1192,1579,8479,2017,0.545,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers*,82,19780,3349,7098,0.472,901,2445,0.369,2448,4653,0.526,1405,1868,0.752,893,2996,3889,2221,682,420,1353,1811,9004,2017,0.568,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,82,19705,3153,7141,0.442,763,2286,0.334,2390,4855,0.492,1453,1962,0.741,842,2776,3618,1743,569,370,1289,1807,8522,2017,0.532,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers*,82,19755,3222,7132,0.452,845,2308,0.366,2377,4824,0.493,1372,1715,0.8,835,2893,3728,1599,573,423,1109,1599,8661,2017,0.549,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,82,19755,3179,7063,0.45,738,1967,0.375,2441,5096,0.479,1008,1371,0.735,777,2578,3355,1768,643,340,1125,1639,8104,2017,0.529,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs*,82,19730,3202,6999,0.457,696,1977,0.352,2506,5022,0.499,1324,1715,0.772,849,2777,3626,1868,628,460,1078,1408,8424,2017,0.543,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
